PassengerId,Survived,Pclass,Sex,Age,SibSp,Parch,Fare,Embarked
1,0,3,male,22,1,0,7.25,S
2,1,1,female,38,1,0,71.28,C
3,1,3,female,26,0,0,7.92,S
4,1,1,female,35,1,0,53.1,S
5,0,3,male,35,0,0,8.05,S
6,0,3,male,28,0,0,8.46,Q
7,0,1,male,54,0,0,51.86,S
8,0,3,male,2,3,1,21.08,S
9,1,3,female,27,0,2,11.13,S
10,1,2,female,14,1,0,30.07,C
11,1,3,female,4,1,1,16.7,S
12,1,1,female,58,0,0,26.55,S
13,0,3,male,20,0,0,8.05,S
14,0,2,male,39,0,0,13.0,S
15,1,2,female,55,0,0,16.0,S
16,1,1,female,31,0,0,53.1,S
17,0,3,male,18,1,0,7.85,S
18,1,2,male,40,0,0,26.0,S
19,0,3,female,45,1,0,7.9,S
20,1,2,female,30,0,0,12.0,S
